trueR , trueI
1.000000 , 0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
65536 , 2949120 , 0.000000 , 0.000000, 1.000000, 0.000000
131072 , 5898240 , 0.000000 , 0.000000, 1.000000, 0.000000
196608 , 8847360 , 0.000000 , 0.000000, 1.000000, 0.000000
262144 , 11796480 , 0.000000 , 0.000000, 1.000000, 0.000000
327680 , 14745600 , 0.000000 , 0.000000, 1.000000, 0.000000
393216 , 17694720 , 0.000000 , 0.000000, 1.000000, 0.000000
458752 , 20643840 , 0.000000 , 0.000000, 1.000000, 0.000000
524288 , 23592960 , 0.000000 , 0.000000, 1.000000, 0.000000
589824 , 26542080 , 0.000000 , 0.000000, 1.000000, 0.000000
655360 , 29491200 , 0.000000 , 0.000000, 1.000000, 0.000000
720896 , 32440320 , 0.000000 , 0.000000, 1.000000, 0.000000
786432 , 35389440 , 0.000000 , 0.000000, 1.000000, 0.000000
851968 , 38338560 , 0.000000 , 0.000000, 1.000000, 0.000000
917504 , 41287680 , 0.000000 , 0.000000, 1.000000, 0.000000
983040 , 44236800 , 0.000000 , 0.000000, 1.000000, 0.000000
1048576 , 47185920 , 0.000000 , 0.000000, 1.000000, 0.000000
1114112 , 50135040 , 0.000000 , 0.000000, 1.000000, 0.000000
1179648 , 53084160 , 0.000000 , 0.000000, 1.000000, 0.000000
1245184 , 56033280 , 0.000000 , 0.000000, 1.000000, 0.000000
1310720 , 58982400 , 0.000000 , 0.000000, 1.000000, 0.000000
1376256 , 61931520 , 0.000000 , 0.000000, 1.000000, 0.000000
1441792 , 64880640 , 0.000000 , 0.000000, 1.000000, 0.000000
1507328 , 67829760 , 0.000000 , 0.000000, 1.000000, 0.000000
1572864 , 70778880 , 0.000000 , 0.000000, 1.000000, 0.000000
1638400 , 73728000 , 0.000000 , 0.000000, 1.000000, 0.000000
1703936 , 76677120 , 0.000000 , 0.000000, 1.000000, 0.000000
1769472 , 79626240 , 0.000000 , 0.000000, 1.000000, 0.000000
1835008 , 82575360 , 0.000000 , 0.000000, 1.000000, 0.000000
1900544 , 85524480 , 0.000000 , 0.000000, 1.000000, 0.000000
1966080 , 88473600 , 0.000000 , 0.000000, 1.000000, 0.000000
2031616 , 91422720 , 0.000000 , 0.000000, 1.000000, 0.000000
2097152 , 94371840 , 0.000000 , 0.000000, 1.000000, 0.000000
2162688 , 97320960 , 0.000000 , 0.000000, 1.000000, 0.000000
2228224 , 100270080 , 0.000000 , 0.000000, 1.000000, 0.000000
2293760 , 103219200 , 0.000000 , 0.000000, 1.000000, 0.000000
2359296 , 106168320 , 0.000000 , 0.000000, 1.000000, 0.000000
2424832 , 109117440 , 0.000000 , 0.000000, 1.000000, 0.000000
2490368 , 112066560 , 0.000000 , 0.000000, 1.000000, 0.000000
2555904 , 115015680 , 0.000000 , 0.000000, 1.000000, 0.000000
2621440 , 117964800 , 0.000000 , 0.000000, 1.000000, 0.000000
2686976 , 120913920 , 0.000000 , 0.000000, 1.000000, 0.000000
2752512 , 123863040 , 0.000000 , 0.000000, 1.000000, 0.000000
2818048 , 126812160 , 0.000000 , 0.000000, 1.000000, 0.000000
2883584 , 129761280 , 0.000000 , 0.000000, 1.000000, 0.000000
2949120 , 132710400 , 0.000000 , 0.000000, 1.000000, 0.000000
3014656 , 135659520 , 0.000000 , 0.000000, 1.000000, 0.000000
3080192 , 138608640 , 0.000000 , 0.000000, 1.000000, 0.000000
3145728 , 141557760 , 0.000000 , 0.000000, 1.000000, 0.000000
3211264 , 144506880 , 0.000000 , 0.000000, 1.000000, 0.000000
3276800 , 147456000 , 0.000000 , 0.000000, 1.000000, 0.000000
3342336 , 150405120 , 0.000000 , 0.000000, 1.000000, 0.000000
3407872 , 153354240 , 0.000000 , 0.000000, 1.000000, 0.000000
3473408 , 156303360 , 0.000000 , 0.000000, 1.000000, 0.000000
3538944 , 159252480 , 0.000000 , 0.000000, 1.000000, 0.000000
3604480 , 162201600 , 0.000000 , 0.000000, 1.000000, 0.000000
3670016 , 165150720 , 0.000000 , 0.000000, 1.000000, 0.000000
3735552 , 168099840 , 0.000000 , 0.000000, 1.000000, 0.000000
3801088 , 171048960 , 0.000000 , 0.000000, 1.000000, 0.000000
3866624 , 173998080 , 0.000000 , 0.000000, 1.000000, 0.000000
3932160 , 176947200 , 0.000000 , 0.000000, 1.000000, 0.000000
3997696 , 179896320 , 2.030910 , 0.000000, 1.062775, 0.000000
4063232 , 182845440 , 1.998153 , 0.000000, 0.996310, 0.000000
4128768 , 185794560 , 1.966437 , 0.000000, 0.934000, 0.000000
4194304 , 188743680 , 1.935711 , 0.000000, 0.875555, 0.000000
4259840 , 191692800 , 1.905931 , 0.000000, 0.820711, 0.000000
4325376 , 194641920 , 1.877053 , 0.000000, 0.769222, 0.000000
4390912 , 197591040 , 1.849037 , 0.000000, 0.720865, 0.000000
4456448 , 200540160 , 1.821846 , 0.000000, 0.675430, 0.000000
4521984 , 203489280 , 1.795442 , 0.000000, 0.632728, 0.000000
4587520 , 206438400 , 1.769793 , 0.000000, 0.592581, 0.000000
4653056 , 209387520 , 1.744866 , 0.000000, 0.554826, 0.000000
4718592 , 212336640 , 1.720632 , 0.000000, 0.519310, 0.000000
4784128 , 215285760 , 1.697062 , 0.000000, 0.485895, 0.000000
4849664 , 218234880 , 1.674128 , 0.000000, 0.454449, 0.000000
4915200 , 221184000 , 1.651807 , 0.000000, 0.424852, 0.000000
4980736 , 224133120 , 1.630072 , 0.000000, 0.396991, 0.000000
5046272 , 227082240 , 1.608903 , 0.000000, 0.370762, 0.000000
5111808 , 230031360 , 1.588276 , 0.000000, 0.346068, 0.000000
5177344 , 232980480 , 1.568171 , 0.000000, 0.322818, 0.000000
